iter	Passed	Remaining
555	5159	4119
556	5160	4104
557	5161	4088
558	5162	4073
559	5164	4057
560	5166	4042
561	5167	4027
562	5169	4012
563	5170	3996
564	5171	3981
565	5173	3966
566	5174	3951
567	5175	3936
568	5176	3921
569	5178	3906
570	5179	3891
571	5180	3876
572	5181	3861
573	5182	3846
574	5184	3831
575	5185	3817
576	5187	3802
577	5188	3788
578	5190	3773
579	5191	3759
580	5192	3744
581	5194	3730
582	5195	3716
583	5197	3701
584	5198	3687
585	5199	3673
586	5201	3659
587	5202	3645
588	5203	3631
589	5204	3616
590	5206	3602
591	5207	3588
592	5208	3574
593	5209	3561
594	5211	3547
595	5212	3533
596	5213	3519
597	5214	3505
598	5216	3492
599	5217	3478
600	5219	3465
601	5220	3451
602	5222	3438
603	5223	3424
604	5225	3411
605	5226	3398
606	5227	3384
607	5229	3371
608	5230	3358
609	5231	3344
610	5233	3331
611	5234	3318
612	5235	3305
613	5237	3292
614	5238	3279
615	5239	3266
616	5241	3253
617	5242	3240
618	5243	3227
619	5244	3214
620	5246	3201
621	5247	3189
622	5248	3176
623	5250	3163
624	5251	3151
625	5253	3138
626	5254	3125
627	5255	3113
628	5256	3100
629	5258	3088
630	5259	3075
631	5261	3063
632	5262	3051
633	5263	3038
634	5264	3026
635	5266	3013
636	5267	3001
637	5268	2989
638	5270	2977
639	5271	2965
640	5272	2953
641	5274	2941
642	5275	2928
643	5276	2916
644	5278	2904
645	5279	2893
646	5280	2881
647	5282	2869
648	5284	2857
649	5285	2846
650	5287	2834
651	5288	2822
652	5289	2811
653	5291	2799
654	5292	2787
655	5294	2776
656	5295	2764
657	5296	2752
658	5298	2741
659	5300	2730
660	5301	2718
661	5302	2707
662	5304	2696
663	5305	2684
664	5306	2673
665	5308	2662
666	5309	2650
667	5311	2639
668	5312	2628
669	5314	2617
670	5315	2606
671	5317	2595
672	5319	2584
673	5320	2573
674	5322	2562
675	5323	2551
676	5325	2540
677	5326	2529
678	5328	2519
679	5329	2508
680	5331	2497
681	5332	2486
682	5333	2475
683	5335	2464
684	5336	2454
685	5338	2443
686	5339	2432
687	5340	2421
688	5341	2411
689	5343	2400
690	5344	2389
691	5345	2379
692	5346	2368
693	5347	2357
694	5349	2347
695	5350	2336
696	5351	2326
697	5352	2316
698	5354	2305
699	5355	2295
700	5357	2285
701	5359	2275
702	5360	2264
703	5362	2254
704	5363	2244
705	5365	2234
706	5366	2224
707	5368	2214
708	5370	2204
709	5372	2194
710	5374	2184
711	5375	2174
712	5377	2164
713	5379	2154
714	5380	2144
715	5382	2134
716	5384	2125
717	5385	2115
718	5387	2105
719	5389	2095
720	5390	2086
721	5392	2076
722	5394	2066
723	5395	2056
