Date,Close/Last,Volume,Open,High,Low
03/12/2018,$9.8399,1129295,$9.8713,$9.9499,$9.7141
03/09/2018,$9.8713,1376841,$9.6827,$9.9656,$9.6198
03/08/2018,$9.777,1276265,$9.8084,$10.0599,$9.7456
03/07/2018,$9.8713,1386292,$9.9971,$10.0442,$9.5884
03/06/2018,$10.0285,1711311,$9.9342,$10.1071,$9.6198
03/05/2018,$9.9027,2159780,$9.9342,$10.0599,$9.777
03/02/2018,$9.9027,3269547,$9.2426,$9.9656,$9.1168
03/01/2018,$9.274,3738498,$10.0285,$10.0599,$9.1168
02/28/2018,$9.4312,3741141,$9.9342,$9.9813,$9.3369
02/27/2018,$9.9027,2167053,$9.7141,$9.9813,$9.5601
02/26/2018,$9.7141,3674034,$9.3369,$9.9971,$9.3337
02/23/2018,$9.3369,1826809,$9.1483,$9.3683,$8.9911
02/22/2018,$8.9911,1462342,$9.1168,$9.3683,$8.9596
02/21/2018,$9.0539,1162122,$9.1168,$9.3369,$9.0225
02/20/2018,$9.1168,2003031,$9.2111,$9.4312,$8.9942
02/16/2018,$9.0539,1435368,$9.2111,$9.3683,$8.9911
02/15/2018,$9.2111,2146199,$9.0539,$9.3526,$8.9439
02/14/2018,$8.9596,1981024,$8.6138,$9.1137,$8.6138
02/13/2018,$8.7081,1858836,$8.7396,$8.8653,$8.5195
02/12/2018,$8.7396,1727272,$8.5824,$9.0068,$8.4252
02/09/2018,$8.4566,2101528,$8.6138,$8.6767,$8.1108
02/08/2018,$8.6453,1564150,$8.9911,$8.9911,$8.5667
02/07/2018,$8.9282,2729796,$8.6453,$9.0539,$8.6138
02/06/2018,$8.6453,1927219,$8.1737,$8.6767,$8.0479
02/05/2018,$8.3938,1618717,$8.6767,$8.7396,$8.2994
02/02/2018,$8.771,2681152,$8.4881,$8.9439,$8.3938
02/01/2018,$8.4881,2186493,$8.0479,$8.5509,$7.9536
01/31/2018,$8.0479,1190608,$7.9222,$8.0794,$7.8908
01/30/2018,$7.9222,2494673,$8.0165,$8.0794,$7.8593
01/29/2018,$8.0794,2044425,$8.0479,$8.1423,$7.9536
01/26/2018,$8.0794,3531561,$8.268,$8.2994,$7.7964
01/25/2018,$8.268,1175852,$8.3309,$8.3592,$8.1737
01/24/2018,$8.2994,1724750,$8.4252,$8.5824,$8.2366
01/23/2018,$8.4252,1734813,$8.3938,$8.6138,$8.268
01/22/2018,$8.3309,1981393,$8.3309,$8.4252,$8.2051
01/19/2018,$8.2994,1314193,$8.3938,$8.4566,$8.2366
01/18/2018,$8.4252,1967155,$8.6453,$8.6767,$8.3938
01/17/2018,$8.6453,1023679,$8.6138,$8.771,$8.5855
01/16/2018,$8.5824,2247635,$9.1168,$9.1797,$8.5541
01/12/2018,$9.0854,4656992,$8.8968,$9.2426,$8.771
01/11/2018,$8.8653,2148953,$8.7396,$8.8968,$8.6453
01/10/2018,$8.771,2681892,$8.5509,$8.9596,$8.5195
01/09/2018,$8.7396,2004007,$8.6453,$8.8024,$8.5195
01/08/2018,$8.6767,2347367,$8.9911,$9.0225,$8.5824
01/05/2018,$8.8653,2004973,$9.1168,$9.1564,$8.8339
01/04/2018,$9.0854,2140957,$9.4312,$9.4941,$9.0225
01/03/2018,$9.4312,1631381,$9.7141,$9.7456,$9.3683
01/02/2018,$9.6827,2257320,$9.5569,$9.8399,$9.3683
12/29/2017,$9.4941,2652134,$9.3369,$9.6984,$9.274
12/28/2017,$9.3369,2504906,$8.8339,$9.3683,$8.8024
12/27/2017,$8.8653,2020486,$9.0225,$9.0539,$8.8024
12/26/2017,$9.0539,3499810,$9.3054,$9.3997,$8.881
12/22/2017,$9.3683,2644704,$9.6827,$9.7456,$9.2426
12/21/2017,$9.6827,2865850,$9.4941,$9.8084,$9.4626
12/20/2017,$9.3369,2245471,$9.6198,$9.6198,$9.3054
12/19/2017,$9.5884,1496591,$9.5884,$9.6512,$9.4312
12/18/2017,$9.5884,3642899,$9.4941,$9.6827,$9.0225
12/15/2017,$9.4941,4409032,$9.9027,$9.9971,$9.3683
12/14/2017,$9.9342,2258429,$9.5569,$9.9342,$9.5569
12/13/2017,$9.5255,2524783,$9.6512,$9.6512,$9.1954
12/12/2017,$9.5884,3231420,$9.8399,$10.0599,$9.5255
12/11/2017,$9.5884,3122220,$9.1797,$9.7141,$9.1797
12/08/2017,$9.2111,1899986,$9.0539,$9.2426,$8.9282
12/07/2017,$9.0225,1920224,$8.8968,$9.1168,$8.8339
12/06/2017,$8.9596,3827888,$9.3683,$9.4312,$8.8968
12/05/2017,$9.0854,3150283,$9.2111,$9.3683,$8.9911
12/04/2017,$8.9911,2213161,$8.8968,$9.2111,$8.8339
12/01/2017,$8.8024,2263530,$8.8339,$8.9911,$8.5748
11/30/2017,$8.9596,5277390,$9.8399,$9.8399,$8.8339
11/29/2017,$9.6827,4240982,$10.2486,$10.3114,$9.4312
11/28/2017,$10.1542,7529792,$9.3997,$10.3114,$9.0539
11/27/2017,$9.3683,3999342,$8.8024,$9.4312,$8.7553
11/24/2017,$8.7081,1739512,$8.2366,$8.8339,$8.2334
11/22/2017,$8.2994,2501162,$7.9222,$8.378,$7.8593
11/21/2017,$7.9851,1625061,$8.0794,$8.1423,$7.8593
11/20/2017,$8.0165,2043534,$8.0479,$8.1108,$7.7336
11/17/2017,$8.1423,2871573,$7.8593,$8.268,$7.7964
11/16/2017,$7.8279,2674777,$7.9222,$8.1423,$7.7336
11/15/2017,$7.8908,3615967,$7.7021,$7.9851,$7.4821
11/14/2017,$7.6707,3241811,$7.4192,$7.7021,$7.2306
11/13/2017,$7.3249,4054170,$7.0105,$7.3563,$6.7905
11/10/2017,$6.9162,4076402,$7.1991,$7.2935,$6.8533
11/09/2017,$7.1677,4524249,$7.3878,$7.5449,$7.1363
11/08/2017,$7.4192,4512795,$7.5764,$7.7021,$7.3249
11/07/2017,$7.7336,8394186,$7.4506,$8.1108,$7.0734
11/06/2017,$7.6707,6573523,$7.5764,$7.765,$7.1991
11/03/2017,$7.4821,5824480,$8.1423,$8.2051,$7.4192
11/02/2017,$8.0794,3653286,$8.3623,$8.3938,$7.9851
11/01/2017,$8.4566,3737754,$8.8653,$8.8653,$8.2366
10/31/2017,$8.7396,2305410,$8.6767,$8.9911,$8.6767
10/30/2017,$8.7396,3914836,$9.2426,$9.3369,$8.6453
10/27/2017,$9.274,1594801,$9.2111,$9.3997,$8.9911
10/26/2017,$9.2426,2540028,$8.8653,$9.3997,$8.8653
10/25/2017,$8.8339,1687805,$9.2111,$9.274,$8.8024
10/24/2017,$8.9911,1257312,$8.8968,$9.0508,$8.8024
10/23/2017,$8.8968,1154984,$8.8024,$9.0225,$8.771
10/20/2017,$8.8024,2068637,$9.0225,$9.1483,$8.771
10/19/2017,$8.9596,2265192,$8.5195,$8.9911,$8.4881
10/18/2017,$8.5509,2508742,$8.6138,$8.8339,$8.5195
10/17/2017,$8.6453,1321924,$8.7081,$8.8024,$8.5509
10/16/2017,$8.6453,1283242,$8.6138,$8.8653,$8.5824
10/13/2017,$8.6453,1124720,$8.6453,$8.8339,$8.6453
10/12/2017,$8.7081,2278093,$8.7396,$8.771,$8.3938
10/11/2017,$8.6453,2672638,$8.7081,$8.8968,$8.5195
10/10/2017,$8.7081,3449944,$8.8968,$8.9911,$8.5824
10/09/2017,$8.8024,6324979,$9.5569,$9.5569,$8.6924
10/06/2017,$9.5569,2856318,$10.0285,$10.1309,$9.4941
10/05/2017,$10.0914,1880672,$10.1228,$10.3743,$9.8556
10/04/2017,$9.9342,1395910,$9.9971,$10.0914,$9.7456
10/03/2017,$9.9971,3292545,$9.274,$10.0285,$9.274
10/02/2017,$9.2426,1971314,$9.4312,$9.5255,$9.0854
09/29/2017,$9.2426,3383200,$9.3369,$9.4312,$8.9596
09/28/2017,$9.4312,3100026,$9.6512,$9.6512,$9.274
09/27/2017,$9.7456,2155987,$9.7456,$9.887,$9.4469
09/26/2017,$9.6827,1821631,$9.5569,$9.9027,$9.4941
09/25/2017,$9.5255,4642425,$9.9027,$10.1542,$9.4626
09/22/2017,$9.9971,1654196,$9.9342,$10.0599,$9.6827
09/21/2017,$9.9342,2596552,$9.7141,$9.9656,$9.4941
09/20/2017,$9.6512,2925053,$9.9027,$10.2171,$9.5569
09/19/2017,$9.8399,3901605,$10.5001,$10.5001,$9.7456
09/18/2017,$10.4686,4188795,$10.8144,$11.0974,$10.1857
09/15/2017,$10.6572,6673120,$10.1228,$10.7673,$10.1228
09/14/2017,$10.0914,7200584,$9.5569,$10.28,$9.5569
09/13/2017,$9.5569,3643570,$8.9596,$9.6512,$8.8968
09/12/2017,$8.9282,2416930,$8.8024,$9.1325,$8.8024
09/11/2017,$8.8653,2291208,$8.5195,$9.0539,$8.4881
09/08/2017,$8.3938,2155166,$8.4881,$8.7081,$8.2051
09/07/2017,$8.6767,7727251,$9.0539,$9.1797,$8.6295
09/06/2017,$9.0539,2983811,$9.1168,$9.1797,$8.8968
09/05/2017,$9.1168,5527473,$8.9282,$9.164,$8.8339
09/01/2017,$8.8968,3231841,$8.2994,$9.0225,$8.2994
08/31/2017,$8.4252,2360357,$8.4566,$8.6138,$8.3309
08/30/2017,$8.4566,3281212,$8.0479,$8.4881,$7.9536
08/29/2017,$8.0794,3025332,$8.0794,$8.1423,$7.8279
08/28/2017,$8.2051,3421201,$8.2051,$8.3309,$8.0165
08/25/2017,$8.1108,1976280,$8.1423,$8.3309,$8.0165
08/24/2017,$8.0479,2144835,$7.8908,$8.4095,$7.8593
08/23/2017,$7.8908,2670584,$8.0165,$8.0479,$7.7964
08/22/2017,$8.0794,2990471,$8.268,$8.4566,$7.875
08/21/2017,$8.2051,4050843,$8.1737,$8.268,$7.8122
08/18/2017,$8.1737,7119473,$8.2366,$8.2994,$7.5764
08/17/2017,$8.268,3273395,$8.3623,$8.7396,$8.268
08/16/2017,$8.3623,2570370,$8.3938,$8.6453,$8.268
08/15/2017,$8.3309,3682169,$8.6138,$8.7081,$8.1108
08/14/2017,$8.5509,3170249,$8.9911,$9.0854,$8.4881
08/11/2017,$8.8339,3632723,$9.0539,$9.1483,$8.5824
